____VehicleSample__
hhID,vehIDinHH,hhWt,nTrips
1035198,3,303.74908,1
___Trip_
gID,dayID,idInDay,secsFromLastTrip,numRecSteps,miles,year,month,day,hr24,min,sec,numPayloadAdjust
0,0,0,30625,9366,130.21385,2012,5,25,5,46,23,1
tStepID,payloadKg
0,0.0
speedMPH,fltGrade,recAuxKW
53.0,6.5200316E-4,0.0
49.0,4.436636E-4,0.0
47.3,2.6217857E-4,0.0
46.3,1.3193527E-4,0.0
44.8,5.364321E-5,0.0
43.2,1.4949613E-5,0.0
40.8,-1.9443746E-7,0.0
37.9,-6.082578E-6,0.0
36.0,-1.29802365E-5,0.0
33.6,-2.753965E-5,0.0
31.0,-5.4106025E-5,0.0
28.5,-9.4897856E-5,0.0
27.3,-1.4955917E-4,0.0
26.2,-2.1614079E-4,0.0
25.1,-2.9283966E-4,0.0
24.2,-3.7721623E-4,0.0
22.5,-4.634672E-4,0.0
18.0,-5.4277317E-4,0.0
15.399999,-6.0847204E-4,0.0
14.8,-6.598482E-4,0.0
14.3,-6.987622E-4,0.0
14.3,-7.248656E-4,0.0
14.1,-7.36095E-4,0.0
13.699999,-7.303932E-4,0.0
14.8,-7.042128E-4,0.0
13.199999,-6.5096235E-4,0.0
17.0,-5.618342E-4,0.0
18.1,-4.2229393E-4,0.0
22.1,-2.0607367E-4,0.0
25.7,1.18984724E-4,0.0
27.2,5.7992584E-4,0.0
28.9,0.0011968279,0.0
30.5,0.0019780027,0.0
32.6,0.0029098024,0.0
34.5,0.0039562685,0.0
35.9,0.0050599733,0.0
37.4,0.006143832,0.0
38.8,0.0071166493,0.0
40.4,0.007867754,0.0
42.6,0.008294143,0.0
44.4,0.008396524,0.0
45.5,0.00835093,0.0
45.8,0.008439399,0.0
45.7,0.00888033,0.0
45.6,0.009722661,0.0
45.7,0.010873513,0.0
46.7,0.012173985,0.0
47.2,0.013440254,0.0
48.0,0.014469385,0.0
48.8,0.015039101,0.0
49.5,0.014924683,0.0
51.0,0.013950166,0.0
52.2,0.01208236,0.0
53.2,0.009532272,0.0
53.9,0.006751349,0.0
53.9,0.0042575514,0.0
52.8,0.002409875,0.0
51.5,0.0012990377,0.0
50.3,7.9890725E-4,0.0
49.1,7.0543645E-4,0.0
48.1,8.5020525E-4,0.0
47.2,0.0011343573,0.0
47.0,0.0015080208,0.0
45.8,0.0019351793,0.0
43.7,0.0023714914,0.0
40.5,0.0027683766,0.0
36.9,0.003092756,0.0
34.8,0.003337699,0.0
33.5,0.0035144915,0.0
34.4,0.0036392878,0.0
36.6,0.003724911,0.0
37.7,0.0037776434,0.0
37.4,0.0037986636,0.0
36.7,0.0037867376,0.0
36.7,0.0037371586,0.0
37.7,0.0036385404,0.0
38.8,0.0034720125,0.0
39.8,0.0032137078,0.0
41.1,0.002842185,0.0
43.6,0.002354591,0.0
45.5,0.0017840384,0.0
46.8,0.001198966,0.0
47.9,6.769264E-4,0.0
50.9,2.7098585E-4,0.0
52.0,-5.816837E-6,0.0
54.4,-1.7149549E-4,0.0
56.5,-2.526336E-4,0.0
57.8,-2.5993423E-4,0.0
59.4,-1.7004658E-4,0.0
60.2,7.5762364E-5,0.0
60.7,5.433654E-4,0.0
59.9,0.0012495195,0.0
58.8,0.002116954,0.0
57.8,0.0029928102,0.0
56.8,0.0037276852,0.0
55.7,0.0042525004,0.0
54.2,0.0045949486,0.0
50.1,0.004833179,0.0
43.4,0.0050344686,0.0
38.9,0.0052250205,0.0
35.8,0.005399028,0.0
31.1,0.005543232,0.0
27.7,0.0056512193,0.0
25.4,0.0057242806,0.0
23.9,0.005767696,0.0
22.8,0.005785516,0.0
24.2,0.0057753166,0.0
26.6,0.0057261684,0.0
27.1,0.005620912,0.0
28.3,0.005439384,0.0
29.5,0.0051572006,0.0
29.8,0.0047471365,0.0
29.7,0.0041919705,0.0
29.3,0.0034889986,0.0
29.6,0.0026402955,0.0
31.5,0.0016611707,0.0
33.9,5.9908E-4,0.0
36.8,-4.7100184E-4,0.0
39.3,-0.0014624456,0.0
